id_modulvoraussetzung,laufnummer,voraussetzung_laufnummer,bemerkung,ziel1,ziel2,ziel3,ziel4,ziel5
583,B-LS-CB 007,B-LS-CB 009,,,t,t,t,t
584,B-LS-CB 007,B-LS-CB 009,,t,t,t,t,t
585,B-LS-CB 008,B-LS-CB 009,,t,t,t,t,t
586,B-LS-CB 009,B-LS-CH 012,,t,t,t,t,t
110,B-LS-PT 014a,B-LS-PT 009,,f,f,t,t,t
287,B-LS-PT 006,B-LS-PT 014a,,t,t,t,t,t
392,B-LS-PT 011,B-LS-PT 014a,,t,t,t,t,t
376,B-LS-PT 027,B-LS-PT 014a,,t,t,t,t,t
64,B-LS-CB 002a,B-LS-CB 012,,t,f,f,t,t
45,B-LS-CB 002a,B-LS-MI 002,,t,f,f,f,f
191,B-LS-CB 003,B-LS-CB 002a,,f,t,f,f,f
196,B-LS-CB 004,B-LS-CB 002a,,f,t,f,f,f
587,B-LS-PT 014b,B-LS-PT 012,,f,t,t,f,f
588,B-LS-PT 014b,B-LS-PT 009,,f,f,t,t,t
589,B-LS-CB 002b,B-LS-CB 001,,t,f,f,t,t
590,B-LS-CB 002b,B-LS-CB 012,,t,f,f,t,t
591,B-LS-CB 002b,B-LS-MI 002,,t,f,f,f,f
592,B-LS-KT 016a,B-LS-KT 036,,t,t,t,t,
593,B-LS-KT 036a,B-LS-KT 014,,,t,t,t,
594,B-LS-CH 039,B-LS-CH 001,,t,t,f,f,t
595,B-LS-CH 039,B-LS-CH 003,,t,f,t,t,t
596,B-LS-PT 027,B-LS-PT 006,,t,t,t,t,t
597,B-LS-PT 011,B-LS-PT 006,,t,t,t,t,t
